Game Title,HollowPoiint Videos,Sample Video URL,Sample Video Title,Steam URL,Steam App ID,Price (USD),Genres,Categories,Developer,Publisher,AAA / Indie,Steam Deck,Release Date,Review Count,Metacritic,Short Description,Platforms
Silent Hill f,4,https://youtube.com/watch?v=09vjIOYaaDo,Silent Hill f - ENDING / FINAL BOSS,https://store.steampowered.com/app/2947440,2947440,$69.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Family Sharing",NeoBards Entertainment Ltd.,KONAMI,AAA,Playable,"Sep 24, 2025","16,634 reviews",,"Hinako's hometown is engulfed in fog, driving her to fight grotesque monsters and solve eerie puzzles. Uncover the disturbing beauty hidden in terror.",Windows
Resident Evil 5,4,https://youtube.com/watch?v=YzHtrlVFf40,Resident Evil 5 - Part 5 - SAVING JILL,https://store.steampowered.com/app/21690,21690,$19.99,"Action, Adventure","Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",Capcom,Capcom,AAA,Unsupported,"Sep 15, 2009","42,381 reviews",86,"This game is a port of the Games for Windows - Live version that was released in 2009. If you buy the Untold Stories Bundle here on Steam, it will be the same as upgrading to Resident Evil 5 Gold Edit",Windows
The Devil in Me,4,https://youtube.com/watch?v=TK9o5owWEbA,The Devil in Me - Part 4 - TRAPPED,https://store.steampowered.com/app/1567020,1567020,$39.99,Adventure,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing",Supermassive Games,Bandai Namco Entertainment Europe,AAA,Verified,"Nov 17, 2022","3,441 reviews",,A group of documentary film makers receive a mysterious call inviting them to a modern-day replica of serial killer H.H. Holmes ‘Murder Castle’. But on arrival they soon discover they’re being watched,Windows
Dying Light: The Following,4,https://youtube.com/watch?v=OOaLMueNB8o,Dying Light: The Following - Part 4 - THE TEMPLE OF THE SUN,https://store.steampowered.com/app/325724,325724,$49.99,"Action, RPG","Single-player, Multi-player, Co-op, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",Techland,Techland Publishing,AAA,Unknown,"Feb 8, 2016","4,711 reviews",79,"Experience the untold chapter of Kyle Crane's story set in a vast breathtaking region outside the city of Harran. Leave the city walls behind and discover a countryside full of mysterious characters, ","Windows, Mac, Linux"
Dead Space 2,4,https://youtube.com/watch?v=YU-gC2MhMQ4,Dead Space 2 - Part 5 - ITS SO CRINGEEE (ENDING),https://store.steampowered.com/app/47780,47780,$19.99,"Action, Adventure","Single-player, Multi-player, Steam Trading Cards, Partial Controller Support, Family Sharing",Visceral Games,Electronic Arts,AAA,Playable,"Jan 25, 2011","24,451 reviews",87,"Three years after the Necromorph infestation aboard the USS Ishimura, Isaac Clarke awakens from a coma, confused, disoriented, and on a space station called The Sprawl. Explore this world and its zero",Windows
The Medium,4,https://youtube.com/watch?v=GWGXL_yZBDQ,The Medium - Part 3 - THE ENDING (SO GOOD!),https://store.steampowered.com/app/1293160,1293160,$49.99,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Bloober Team,"Bloober Team SA, NA PUBLISHING INC.",AAA,Unsupported,"Jan 28, 2021","7,208 reviews",,"A third‑person psychological horror game where you explore both the real world and the spirit realm. As a medium drawn to a deserted resort, you’ll uncover dark secrets, confront echoes of trauma, and","Windows, Mac"
Little Hope,4,https://youtube.com/watch?v=NkLYYvoPCyM,Little Hope - Part 3 - THE WITCHCRAFT TRIALS,https://store.steampowered.com/app/1194630,1194630,$19.99,Adventure,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",Supermassive Games,BANDAI NAMCO Entertainment Europe,AAA,Unsupported,"Oct 29, 2020","6,814 reviews",,"Trapped and isolated in the abandoned town of Little Hope, 4 college students and their teacher must escape the nightmarish apparitions that relentlessly pursue them through an impenetrable fog.",Windows
Red Dead Redemption: Undead Nightmare,4,https://youtube.com/watch?v=UEstWL0Ltj0,Red Dead Redemption: Undead Nightmare - Part 4 - UNDEAD JOHN MARSTON! (Ending),,,,,,,,,,,,,,
Poppy Playtime,3,https://youtube.com/watch?v=g1R9ExslhyI,Poppy Playtime Chapter 5 - FULL GAME,https://store.steampowered.com/app/1721470,1721470,Free,"Action, Adventure, Indie",Single-player,Mob Entertainment,Mob Entertainment,Indie,Playable,"Oct 12, 2021","37,799 reviews",,You must stay alive in this horror/puzzle adventure. Try to survive the vengeful toys waiting for you in the abandoned toy factory. Use your GrabPack to hack electrical circuits or nab anything from a,Windows
Silent Hill 2 Remake,3,https://youtube.com/watch?v=xAYlZROCs3M,Silent Hill 2 Remake - THE HOSPITAL,https://store.steampowered.com/app/2124490,2124490,$69.99,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Bloober Team SA,KONAMI,AAA,Unsupported,"Oct 7, 2024","39,081 reviews",,"Investigating a letter from his late wife, James returns to where they made so many memories - Silent Hill. What he finds is a ghost town, prowled by disturbing monsters and cloaked in deep fog. Confr",Windows
Amnesia: The Bunker,3,https://youtube.com/watch?v=6h43O_S6_mw,Amnesia: The Bunker - Ending,https://store.steampowered.com/app/1944430,1944430,$24.99,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Remote Play Together, Family Sharing",Frictional Games,Frictional Games,Indie,Verified,"Jun 6, 2023","9,503 reviews",,"Amnesia: The Bunker is a first-person horror game set in a WW1 bunker. A relentless, AI-driven monster stalks you. Survival depends on finding tools, crafting items, and keeping the lights on.",Windows
Resident Evil 8 Village Shadows of Rose DLC,3,https://youtube.com/watch?v=Y6GUN1cojGc,Resident Evil 8 Village Shadows of Rose DLC  - FULL GAME (No Commentary),,,,,,,,,,,,,,
Martha is Dead,3,https://youtube.com/watch?v=qmMRdeNjw1g,Martha is Dead - Part 3 - IM JUST GLAD ITS OVER..,https://store.steampowered.com/app/515960,515960,$29.99,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",LKA,Wired Productions,AA,Unsupported,"Feb 24, 2022","2,515 reviews",73,"Set in 1944 Italy, Martha Is Dead is an award-winning dark psychological thriller where the lines between truth, superstition, and tragedy blur. Explore a haunting countryside, uncover disturbing memo",Windows
House of Ashes,3,https://youtube.com/watch?v=AeVW5w6Aj3I,House of Ashes - Part 3 - WELCOME TO HELL 😱,https://store.steampowered.com/app/1281590,1281590,$29.99,Adventure,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",Supermassive Games,BANDAI NAMCO Entertainment Europe,AAA,Playable,"Oct 21, 2021","6,885 reviews",,"At the close of the Iraq War, Special Forces hunting for weapons of mass destruction unearth something far deadlier – a buried Sumerian temple containing a nest of unearthly creatures. To survive the ",Windows
Back 4 Blood,3,https://youtube.com/watch?v=6gn9V63ZxSI,Back 4 Blood - Part 2 - OGRE BOSS,https://store.steampowered.com/app/924970,924970,$59.99,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, HDR available, Family Sharing",Turtle Rock Studios,Warner Bros. Games,AAA,Playable,"Oct 12, 2021","54,451 reviews",77,"Back 4 Blood is a thrilling cooperative first-person shooter from the creators of the critically acclaimed Left 4 Dead franchise. Experience the intense 4 player co-op narrative campaign, competitive ",Windows
